0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
8.5,0.4167,0.4347,0.4455,0.4491,0.4518,0.4536,0.4545,0.4545,0.4536,0.4527,0.4509,0.4455,0.4374,0.414,0.3501,0.0846,-0.2934,-0.7524,-1.2429,-1.6497,-2.1528,-2.7828,-3.384,-3.9285,-4.4109,-4.833900000000001,-5.1957,-5.4990000000000006,-5.7456000000000005,-5.9301,-6.0435,-6.058800000000001,-6.0012
9.0,0.3654,0.3969,0.4221,0.4311,0.4383,0.4428,0.4464,0.4491,0.45,0.4509,0.45,0.4455,0.4383,0.4158,0.3483,0.045,-0.3879,-0.9135,-1.4751,-1.9611,-2.5794,-3.3237,-4.0275,-4.6638,-5.229,-5.7249,-6.1488,-6.5052,-6.7941,-7.0083,-7.137,-7.1514,-7.081200000000001
9.5,0.3321,0.3483,0.3707999999999999,0.3942,0.4068,0.4212,0.4301999999999999,0.4365,0.4401,0.4428,0.4437,0.4428,0.4365,0.4158,0.3447,0.0009,-0.4923,-1.0917,-1.7325000000000002,-2.313,-3.06,-3.9303,-4.7466,-5.4846,-6.1434,-6.7185,-7.212599999999999,-7.627499999999999,-7.9632,-8.2107,-8.3556,-8.3691,-8.2854
10.0,0.2862,0.3213,0.3393,0.3447,0.3681,0.387,0.4014,0.4158,0.4248,0.4301999999999999,0.4338,0.4365,0.4329,0.4131,0.3384,-0.0477,-0.6075,-1.2969000000000002,-2.0169,-2.7081,-3.5973,-4.6053,-5.5458,-6.3963,-7.1577,-7.821900000000001,-8.3925,-8.872200000000001,-9.2592,-9.5445,-9.7065,-9.7209,-9.6201
10.5,0.2529,0.2745,0.2961,0.3195,0.3294,0.351,0.3662999999999999,0.3843,0.3978,0.4104,0.4185,0.4266,0.4256999999999999,0.4086,0.3294,-0.1017,-0.7334999999999999,-1.53,-2.3292,-3.1473,-4.194,-5.3523000000000005,-6.429600000000001,-7.4043,-8.2782,-9.0396,-9.6957,-10.2465,-10.6911,-11.016,-11.196,-11.2113,-11.0916
11.0,0.1593,0.2079,0.2439,0.2889,0.2925,0.3195,0.3375,0.3492,0.3645,0.3816,0.3942,0.4122,0.4158,0.4023,0.3177,-0.162,-0.8721,-1.7847000000000002,-2.673,-3.6333,-4.8528,-6.1749,-7.4025,-8.5122,-9.5094,-10.3788,-11.1276,-11.7576,-12.2634,-12.6324,-12.8313,-12.8484,-12.7089
11.5,0.0702,0.1188,0.1908,0.2358,0.2592,0.3024,0.3006,0.3258,0.3357,0.3474,0.3627,0.3879,0.4014,0.3924,0.3033,-0.2286,-1.0242,-2.0574,-3.051,-4.1688,-5.5773,-7.076700000000001,-8.468100000000002,-9.7254,-10.8576,-11.8449,-12.6954,-13.41,-13.983300000000002,-14.4,-14.6196,-14.6385,-14.4765
12.0,0.0207,0.0819,0.135,0.1782,0.2088,0.2331,0.2673,0.3015,0.297,0.3231,0.3312,0.3573,0.3807,0.3807,0.2862,-0.3015,-1.1889,-2.3472,-3.4659,-4.7574,-6.3693,-8.061300000000001,-9.6444,-11.0538,-12.3282,-13.4424,-14.4036,-15.2109,-15.858,-16.3269,-16.5681,-16.5888,-16.402500000000003
12.5,0.0036,0.036,0.0873,0.1125,0.162,0.1863,0.189,0.2565,0.2781,0.2844,0.2997,0.3249,0.3519,0.3654,0.2673,-0.3816,-1.3689,-2.6541,-3.9177,-5.4,-7.2324,-9.1539,-10.9053,-12.4902,-13.928400000000002,-15.1785,-16.2594,-17.1675,-17.893800000000002,-18.4176,-18.6831,-18.7065,-18.4941
13.0,-0.0117,0.0009,0.0387,0.0711,0.1116,0.1233,0.1476,0.2043,0.2295,0.2385,0.2727,0.2889,0.3204,0.3474,0.2448,-0.4698,-1.5633,-2.9835,-4.4091000000000005,-6.1002,-8.1702,-10.3176,-12.3318,-14.085,-15.6609,-17.056800000000003,-18.2691,-19.2861,-20.097,-20.6811,-20.9718,-20.9979,-20.7576
